id,loan_amount,term,int_rate,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,open_accounts,total_accounts,out_prncp,total_payment,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type
38646145,5000,36.0,13.507328482328484,B,B1,6 years,MORTGAGE,90000.0,Not Verified,Jan-21,Current,n,credit_card,13.21,0,Sep-92,1,13,37,3474.96,1896.47,371.43,0.0,0.0,0.0,Jan-22,158.24,Jan-22,0.0,1,INDIVIDUAL
38646016,7500,36.0,11.44,B,B4,10+ years,MORTGAGE,48000.0,Source Verified,Jan-21,Fully Paid,n,debt_consolidation,13.03,0,Mar-03,1,8,17,0.0,8132.95,632.95,0.0,0.0,0.0,Oct-21,6160.84,Jan-22,0.0,1,INDIVIDUAL
38645841,1200,36.0,14.31,C,C4,3 years,RENT,37440.0,Source Verified,Jan-21,Current,n,moving,23.59,0,Mar-08,1,11,17,855.29,493.45,148.74,0.0,0.0,0.0,Jan-22,41.2,Jan-22,0.0,1,INDIVIDUAL
38645819,4800,36.0,12.99,C,C2,8 years,RENT,35000.0,Not Verified,Jan-21,Current,n,debt_consolidation,18.93,0,May-07,0,5,8,3525.25,1794.38,519.63,0.0,0.0,0.0,Jan-22,161.71,Jan-22,0.0,1,INDIVIDUAL
38645753,3200,36.0,6.49,A,A2,,RENT,30000.0,Verified,Jan-21,Current,n,debt_consolidation,21.76,0,Feb-96,0,10,21,2201.49,1175.69,177.18,0.0,0.0,0.0,Jan-22,98.07,Jan-22,0.0,1,INDIVIDUAL
38645713,8150,36.0,19.99,E,E3,10+ years,RENT,34000.0,Source Verified,Jan-21,Charged Off,n,debt_consolidation,23.4,0,Apr-90,0,8,13,0.0,1808.05,762.85,0.0,0.0,0.0,Jul-21,302.85,Dec-21,0.0,1,INDIVIDUAL
38645582,5000,36.0,8.19,A,A5,3 years,RENT,43000.0,Source Verified,Jan-21,Current,n,credit_card,15.24,0,Nov-04,1,10,31,3467.25,1892.36,359.61,0.0,0.0,0.0,Jan-22,157.13,Jan-22,0.0,1,INDIVIDUAL
38645282,2200,36.0,18.54,E,E1,,MORTGAGE,20000.0,Source Verified,Jan-21,Current,n,credit_card,15.19,0,Sep-08,1,5,8,1651.26,879.27,330.53,0.0,0.0,0.0,Jan-22,80.14,Jan-22,0.0,1,INDIVIDUAL
38645216,4000,36.0,10.49,B,B3,1 year,RENT,26500.0,Not Verified,Jan-21,Current,n,debt_consolidation,6.16,0,Sep-02,0,8,19,2803.14,1557.67,360.81,0.0,0.0,0.0,Jan-22,130.0,Jan-22,0.0,1,INDIVIDUAL
38645117,8800,36.0,6.03,A,A1,,OWN,40445.0,Verified,Jan-21,Current,n,debt_consolidation,19.64,0,Jun-81,1,17,33,6041.14,3208.18,449.32,0.0,0.0,0.0,Jan-22,267.84,Jan-22,0.0,1,INDIVIDUAL
38644794,8000,36.0,11.44,B,B4,4 years,MORTGAGE,32000.0,Not Verified,Jan-21,Current,n,debt_consolidation,12.3,0,Dec-08,2,11,17,5630.56,3157.88,788.44,0.0,0.0,0.0,Jan-22,263.58,Jan-22,0.0,1,INDIVIDUAL
38644620,8050,36.0,13.66,C,C3,10+ years,RENT,77000.0,Verified,Jan-21,Fully Paid,n,car,36.63,0,Jul-94,0,13,26,0.0,8080.55,30.55,0.0,0.0,0.0,Jan-21,8092.77,Jan-22,0.0,1,INDIVIDUAL
38644598,7000,36.0,15.59,D,D1,1 year,RENT,37500.0,Source Verified,Jan-21,Current,n,credit_card,30.5,0,Dec-02,0,9,13,5017.31,2924.15,941.46,0.0,0.0,0.0,Jan-22,244.69,Jan-22,0.0,1,INDIVIDUAL
38644536,3500,36.0,11.99,B,B5,10+ years,MORTGAGE,115000.0,Source Verified,Jan-21,Current,n,home_improvement,26.21,0,Mar-86,1,14,44,2469.35,1395.96,365.31,0.0,0.0,0.0,Jan-22,119.65,Jan-22,0.0,1,INDIVIDUAL
38644459,7200,36.0,15.99,D,D2,4 years,RENT,48000.0,Source Verified,Jan-21,Current,n,other,25.95,0,Jul-05,1,5,11,5169.54,3024.41,993.95,0.0,0.0,0.0,Jan-22,253.1,Jan-22,0.0,1,INDIVIDUAL
38644371,8000,36.0,10.49,B,B3,2 years,OWN,31000.0,Source Verified,Jan-21,Current,n,debt_consolidation,34.84,0,Sep-82,0,10,20,5606.41,3110.56,716.97,0.0,0.0,0.0,Jan-22,259.99,Jan-22,0.0,1,INDIVIDUAL
38644210,8000,36.0,9.49,B,B2,6 years,MORTGAGE,84000.0,Not Verified,Jan-21,Current,n,debt_consolidation,9.57,0,Mar-01,0,7,13,5581.02,3066.32,647.34,0.0,0.0,0.0,Jan-22,256.23,Jan-22,0.0,1,INDIVIDUAL
38636143,6000,36.0,8.67,B,B1,7 years,OWN,111500.0,Not Verified,Jan-21,Fully Paid,n,car,5.53,0,Feb-00,0,8,24,0.0,6282.83,282.83,0.0,0.0,0.0,Aug-21,5146.44,Aug-21,0.0,1,INDIVIDUAL
38635817,8000,36.0,7.49,A,A4,7 years,MORTGAGE,90000.0,Not Verified,Jan-21,Current,n,debt_consolidation,27.69,0,Oct-03,0,13,37,5529.7,2982.51,512.21,0.0,0.0,0.0,Jan-22,248.82,Jan-22,0.0,1,INDIVIDUAL
38635586,5000,36.0,16.49,D,D3,4 years,RENT,45000.0,Not Verified,Jan-21,Current,n,credit_card,6.59,0,Sep-11,2,9,9,3597.64,2119.42,717.06,0.0,0.0,0.0,Jan-22,177.0,Jan-22,0.0,1,INDIVIDUAL
38635567,1000,36.0,14.31,C,C4,9 years,MORTGAGE,36000.0,Verified,Jan-21,Current,n,other,19.73,0,Jun-06,0,13,15,712.79,410.37,123.16,0.0,0.0,0.0,Jan-22,34.33,Jan-22,0.0,1,INDIVIDUAL
38635481,8000,36.0,7.49,A,A4,10+ years,MORTGAGE,57000.0,Not Verified,Jan-21,Fully Paid,n,credit_card,7.74,0,Jan-02,0,5,33,0.0,8412.72,412.72,0.0,0.0,0.0,Oct-21,6425.49,Jan-22,0.0,1,INDIVIDUAL
38635446,8000,36.0,8.67,B,B1,10+ years,MORTGAGE,70000.0,Verified,Jan-21,Current,n,small_business,26.11,0,Jul-87,0,17,34,5559.99,3034.31,594.3,0.0,0.0,0.0,Jan-22,253.18,Jan-22,0.0,1,INDIVIDUAL
38635445,6000,36.0,13.66,C,C3,10+ years,MORTGAGE,30000.0,Source Verified,Jan-21,Current,n,debt_consolidation,32.04,0,Dec-98,1,7,15,4264.66,2439.85,704.51,0.0,0.0,0.0,Jan-22,204.08,Jan-22,0.0,1,INDIVIDUAL
38635104,8300,36.0,14.99,C,C5,7 years,RENT,28000.0,Source Verified,Jan-21,Current,n,debt_consolidation,22.42,0,Feb-06,0,6,12,5933.69,3445.37,1079.06,0.0,0.0,0.0,Jan-22,287.69,Jan-22,0.0,1,INDIVIDUAL
38635006,3000,36.0,9.49,B,B2,6 years,RENT,40500.0,Not Verified,Jan-21,Current,n,debt_consolidation,15.38,0,Aug-99,1,9,22,2092.84,1149.92,242.76,0.0,0.0,0.0,Jan-22,96.09,Jan-22,0.0,1,INDIVIDUAL
38634957,5600,36.0,13.507328482328484,B,B1,10+ years,OWN,64000.0,Source Verified,Jan-21,Current,n,debt_consolidation,1.97,0,Nov-99,0,7,12,3892.07,2121.25,413.32,0.0,0.0,0.0,Jan-22,177.22,Jan-22,0.0,1,INDIVIDUAL
38634691,4900,36.0,13.507328482328484,B,B2,4 years,RENT,48000.0,Not Verified,Jan-21,Current,n,credit_card,5.38,0,Aug-06,1,4,9,3418.39,1878.11,396.5,0.0,0.0,0.0,Jan-22,156.94,Jan-22,0.0,1,INDIVIDUAL
38634552,8000,36.0,11.44,B,B4,9 years,RENT,50000.0,Not Verified,Jan-21,Current,n,debt_consolidation,21.14,0,Mar-04,1,11,16,5630.56,3157.88,788.44,0.0,0.0,0.0,Jan-22,263.58,Jan-22,0.0,1,INDIVIDUAL
38634529,5500,36.0,7.49,A,A4,3 years,MORTGAGE,32000.0,Verified,Jan-21,Fully Paid,n,debt_consolidation,9.64,0,Jan-98,1,19,29,0.0,5666.96,166.96,0.0,0.0,0.0,Nov-21,129.71,Nov-21,0.0,1,INDIVIDUAL
38634467,4000,36.0,6.99,A,A3,2 years,MORTGAGE,65000.0,Not Verified,Jan-21,Current,n,car,6.2,0,Oct-98,0,6,24,2758.32,1478.89,237.21,0.0,0.0,0.0,Jan-22,123.5,Jan-22,0.0,1,INDIVIDUAL
38634245,16000,36.0,13.66,C,C3,9 years,MORTGAGE,88000.0,Verified,Jan-21,Current,n,small_business,10.07,0,Oct-01,0,11,18,5840.84,12006.24,1847.08,0.0,0.0,0.0,Jan-22,544.21,Jan-22,0.0,1,INDIVIDUAL
38634231,5000,36.0,10.49,B,B3,5 years,RENT,128000.0,Not Verified,Jan-21,Current,n,debt_consolidation,11.77,0,Feb-00,1,13,18,3504.05,1944.05,448.1,0.0,0.0,0.0,Jan-22,162.49,Jan-22,0.0,1,INDIVIDUAL
38634129,3000,36.0,13.507328482328484,C,C2,,MORTGAGE,52000.0,Source Verified,Jan-21,Current,n,debt_consolidation,8.54,0,Jan-73,1,14,21,2126.04,1210.68,336.72,0.0,0.0,0.0,Jan-22,101.07,Jan-22,0.0,1,INDIVIDUAL
38626372,3000,36.0,15.59,D,D1,8 years,RENT,25000.0,Not Verified,Jan-21,Charged Off,n,debt_consolidation,34.28,0,Oct-96,0,9,17,0.0,521.75,183.6,0.0,0.0,0.0,Jun-21,104.87,Dec-21,0.0,1,INDIVIDUAL
38626347,6000,36.0,12.39,C,C1,1 year,OWN,31200.0,Not Verified,Jan-21,Current,n,debt_consolidation,26.88,0,Feb-06,1,6,11,4240.8,2400.79,641.59,0.0,0.0,0.0,Jan-22,200.41,Jan-22,0.0,1,INDIVIDUAL
38626326,9600,36.0,8.67,B,B1,8 years,OWN,70000.0,Source Verified,Jan-21,Fully Paid,n,debt_consolidation,31.39,0,Dec-93,0,13,20,0.0,10276.48,676.48,0.0,0.0,0.0,Dec-21,7243.0,Jan-22,0.0,1,INDIVIDUAL
38626267,2500,36.0,11.99,B,B5,2 years,MORTGAGE,25000.0,Not Verified,Jan-21,Current,n,debt_consolidation,19.77,0,Aug-01,1,13,32,1763.8,994.69,258.49,0.0,0.0,0.0,Jan-22,83.03,Jan-22,0.0,1,INDIVIDUAL
38626176,8000,36.0,11.99,B,B5,3 years,RENT,38000.0,Not Verified,Jan-21,Current,n,debt_consolidation,26.44,0,Jun-02,0,15,37,5644.38,3182.83,827.21,0.0,0.0,0.0,Jan-22,265.68,Jan-22,0.0,1,INDIVIDUAL
38625905,5950,36.0,12.99,C,C2,10+ years,OWN,129000.0,Not Verified,Jan-21,Current,n,other,9.29,0,Feb-00,1,4,18,1457.08,4867.41,374.49,0.0,0.0,0.0,Jan-22,200.46,Jan-22,0.0,1,INDIVIDUAL
38625710,6000,36.0,11.99,B,B5,10+ years,MORTGAGE,46000.0,Not Verified,Jan-21,Current,n,debt_consolidation,11.66,0,Jul-98,0,6,13,4233.28,2387.12,620.4,0.0,0.0,0.0,Jan-22,199.26,Jan-22,0.0,1,INDIVIDUAL
38625677,8775,36.0,15.59,D,D1,5 years,OWN,34840.0,Not Verified,Jan-21,Fully Paid,n,debt_consolidation,24.42,0,Feb-06,1,11,13,0.0,9688.09,913.09,0.0,0.0,0.0,Sep-21,7548.58,Sep-21,0.0,1,INDIVIDUAL
38625626,7000,36.0,10.49,B,B3,10+ years,MORTGAGE,31000.0,Not Verified,Jan-21,Current,n,debt_consolidation,18.43,0,Nov-05,0,4,7,4905.62,2725.8,631.42,0.0,0.0,0.0,Jan-22,227.49,Jan-22,0.0,1,INDIVIDUAL
38625616,6000,36.0,15.59,D,D1,10+ years,MORTGAGE,60000.0,Source Verified,Jan-21,Current,n,home_improvement,16.22,0,Jul-97,2,5,19,4300.61,2511.56,812.17,0.0,0.0,0.0,Jan-22,209.73,Jan-22,0.0,1,INDIVIDUAL
38625541,13000,36.0,6.49,A,A2,10+ years,MORTGAGE,90000.0,Not Verified,Jan-21,Current,n,debt_consolidation,26.29,0,Jan-05,0,11,24,3910.67,9766.72,677.39,0.0,0.0,0.0,Dec-21,1998.38,Jan-22,0.0,1,INDIVIDUAL
38625485,7350,36.0,17.14,D,D4,3 years,RENT,52000.0,Not Verified,Jan-21,Current,n,debt_consolidation,22.76,0,Sep-02,1,12,15,5303.22,3136.72,1089.94,0.0,0.0,0.0,Jan-22,262.56,Jan-22,0.0,1,INDIVIDUAL
38625326,5000,36.0,11.44,B,B4,9 years,MORTGAGE,35000.0,Not Verified,Jan-21,Late (16-30 days),n,debt_consolidation,30.18,0,Sep-00,0,11,23,3649.02,1808.96,457.98,0.0,0.0,0.0,Dec-21,164.74,Jan-22,0.0,1,INDIVIDUAL
38625206,10500,36.0,13.66,C,C3,7 years,OWN,60000.0,Source Verified,Jan-21,Fully Paid,n,debt_consolidation,13.82,0,Nov-00,1,7,24,0.0,11345.33,845.33,0.0,0.0,0.0,Aug-21,9162.61,May-21,0.0,1,INDIVIDUAL
38625034,3000,36.0,15.59,D,D1,3 years,OWN,42000.0,Not Verified,Jan-21,Current,n,medical,20.54,0,Aug-99,0,10,22,2150.24,1253.24,403.48,0.0,0.0,0.0,Jan-22,104.87,Jan-22,0.0,1,INDIVIDUAL
38624973,8000,36.0,8.19,A,A5,2 years,MORTGAGE,35000.0,Source Verified,Jan-21,Current,n,debt_consolidation,29.22,0,Jun-90,0,18,37,5759.79,2787.03,546.82,0.0,0.0,0.0,Dec-21,251.4,Jan-22,0.0,1,INDIVIDUAL
38624714,7500,36.0,6.99,A,A3,1 year,MORTGAGE,121000.0,Not Verified,Jan-21,Current,n,home_improvement,5.37,0,Nov-79,0,11,26,5172.01,2772.78,444.79,0.0,0.0,0.0,Jan-22,231.55,Jan-22,0.0,1,INDIVIDUAL
38624621,6200,36.0,6.03,A,A1,6 years,RENT,60000.0,Not Verified,Jan-21,Current,n,debt_consolidation,10.98,0,Dec-06,2,14,23,4256.2,2260.37,316.57,0.0,0.0,0.0,Jan-22,188.71,Jan-22,0.0,1,INDIVIDUAL
38624620,3000,36.0,12.99,C,C2,10+ years,MORTGAGE,45000.0,Not Verified,Jan-21,Current,n,debt_consolidation,24.83,0,Mar-04,0,8,20,2126.04,1208.51,334.55,0.0,0.0,0.0,Jan-22,101.07,Jan-22,0.0,1,INDIVIDUAL
38624472,8000,36.0,11.44,B,B4,< 1 year,RENT,35000.0,Not Verified,Jan-21,Current,n,credit_card,11.32,0,Nov-05,1,15,26,5630.56,3152.79,783.35,0.0,0.0,0.0,Jan-22,263.58,Jan-22,0.0,1,INDIVIDUAL
38624425,4800,36.0,12.39,C,C1,6 years,RENT,36000.0,Not Verified,Jan-21,Current,n,debt_consolidation,24.33,0,Oct-01,1,12,19,3392.62,1917.35,509.97,0.0,0.0,0.0,Jan-22,160.33,Jan-22,0.0,1,INDIVIDUAL
38624386,5000,36.0,6.99,A,A3,10+ years,MORTGAGE,55000.0,Verified,Jan-21,Current,n,debt_consolidation,16.63,0,Feb-94,0,18,44,3447.96,1848.56,296.52,0.0,0.0,0.0,Jan-22,154.37,Jan-22,0.0,1,INDIVIDUAL
38624385,6975,36.0,6.49,A,A2,10+ years,OWN,56500.0,Source Verified,Jan-21,Current,n,credit_card,28.04,0,Jul-99,0,6,13,4798.7,2559.97,383.67,0.0,0.0,0.0,Jan-22,213.75,Jan-22,0.0,1,INDIVIDUAL
38624314,8000,36.0,13.507328482328484,A,A5,,MORTGAGE,90000.0,Verified,Jan-21,Current,n,debt_consolidation,14.31,0,Jan-99,0,10,23,5547.7,3013.16,560.86,0.0,0.0,0.0,Jan-22,251.4,Jan-22,0.0,1,INDIVIDUAL
38624287,4800,36.0,11.44,B,B4,< 1 year,OWN,45000.0,Not Verified,Jan-21,Current,n,credit_card,35.26,0,Feb-94,1,11,18,3378.31,1891.7,470.01,0.0,0.0,0.0,Jan-22,158.15,Jan-22,0.0,1,INDIVIDUAL
38624147,11600,36.0,12.39,C,C1,7 years,MORTGAGE,30000.0,Not Verified,Jan-21,Fully Paid,n,debt_consolidation,22.48,0,Jun-02,1,9,13,0.0,12820.73,1220.73,0.0,0.0,0.0,Dec-21,8962.1,Dec-21,0.0,1,INDIVIDUAL
38624136,5600,36.0,12.99,C,C2,3 years,MORTGAGE,70000.0,Verified,Jan-21,Current,n,debt_consolidation,3.79,0,Aug-10,0,6,7,3293.92,2859.89,553.81,0.0,0.0,0.0,Jan-22,188.66,Jan-22,0.0,1,INDIVIDUAL
38616181,7875,36.0,19.24,E,E2,6 years,RENT,38000.0,Source Verified,Jan-21,Current,n,debt_consolidation,21.35,0,Dec-01,0,7,12,5732.13,3467.14,1324.27,0.0,0.0,0.0,Jan-22,289.63,Jan-22,0.0,1,INDIVIDUAL
38616004,8400,36.0,15.99,D,D2,5 years,RENT,30000.0,Verified,Jan-21,Fully Paid,n,debt_consolidation,30.4,0,Mar-94,1,11,16,0.0,9049.4,649.4,0.0,0.0,0.0,Jul-21,7580.46,Dec-21,0.0,1,INDIVIDUAL
38615971,10500,36.0,12.99,C,C2,10+ years,MORTGAGE,45400.0,Not Verified,Jan-21,Fully Paid,n,debt_consolidation,7.4,0,Oct-02,0,7,12,0.0,11042.74,542.74,0.0,0.0,0.0,Jun-21,9535.35,Sep-21,0.0,1,INDIVIDUAL
38615965,5600,36.0,9.49,B,B2,,MORTGAGE,68000.0,Source Verified,Jan-21,Fully Paid,n,debt_consolidation,17.79,0,Dec-99,0,13,15,0.0,5821.54,221.54,0.0,0.0,0.0,Sep-21,571.92,Jan-22,0.0,1,INDIVIDUAL
38615924,8000,36.0,11.99,B,B5,< 1 year,RENT,60000.0,Not Verified,Jan-21,Current,n,credit_card,11.66,0,Aug-06,2,11,19,5644.38,3182.83,827.21,0.0,0.0,0.0,Jan-22,265.68,Jan-22,0.0,1,INDIVIDUAL
38615833,5000,36.0,13.507328482328484,C,C5,5 years,OWN,30000.0,Source Verified,Jan-21,Current,n,debt_consolidation,36.8,0,Nov-06,1,5,14,3574.47,2075.56,650.03,0.0,0.0,0.0,Jan-22,173.31,Jan-22,0.0,1,INDIVIDUAL
38615829,8000,36.0,11.99,B,B5,9 years,MORTGAGE,72000.0,Not Verified,Jan-21,Current,n,debt_consolidation,36.03,0,May-08,0,9,17,5644.38,3182.83,827.21,0.0,0.0,0.0,Jan-22,265.68,Jan-22,0.0,1,INDIVIDUAL
38615788,7100,36.0,22.99,F,F1,6 years,OWN,40000.0,Verified,Jan-21,Current,n,home_improvement,27.36,0,Dec-04,1,12,17,5247.38,3288.65,1436.03,0.0,0.0,0.0,Jan-22,274.81,Jan-22,0.0,1,INDIVIDUAL
38615357,7200,36.0,10.49,B,B3,10+ years,MORTGAGE,105000.0,Not Verified,Jan-21,Current,n,debt_consolidation,9.7,0,May-03,0,17,33,5045.78,2803.68,649.46,0.0,0.0,0.0,Jan-22,233.99,Jan-22,0.0,1,INDIVIDUAL
38615306,8000,36.0,8.67,B,B1,6 years,OWN,77000.0,Source Verified,Jan-21,Current,n,credit_card,23.07,0,Sep-90,2,8,25,5559.99,3030.45,590.44,0.0,0.0,0.0,Jan-22,253.18,Jan-22,0.0,1,INDIVIDUAL
38615258,6000,36.0,10.49,B,B3,10+ years,RENT,37000.0,Not Verified,Jan-21,Current,n,other,9.23,0,Jul-95,0,6,16,4204.84,2332.89,537.73,0.0,0.0,0.0,Jan-22,194.99,Jan-22,0.0,1,INDIVIDUAL
38615120,7025,36.0,19.24,E,E2,10+ years,MORTGAGE,26000.0,Source Verified,Jan-21,Current,n,debt_consolidation,24.65,0,Jul-02,1,14,28,5113.41,3085.42,1173.83,0.0,0.0,0.0,Jan-22,258.37,Jan-22,0.0,1,INDIVIDUAL
38614969,3825,36.0,17.14,D,D4,4 years,RENT,58000.0,Not Verified,Jan-21,Charged Off,n,other,14.92,0,Jul-01,1,9,24,0.0,949.2,349.96,0.0,0.0,0.0,Aug-21,136.64,Jan-22,0.0,1,INDIVIDUAL
38614944,2100,36.0,15.59,D,D1,7 years,MORTGAGE,25000.0,Not Verified,Jan-21,Current,n,credit_card,18.15,0,May-01,2,8,44,1505.15,877.28,282.43,0.0,0.0,0.0,Jan-22,73.41,Jan-22,0.0,1,INDIVIDUAL
38614705,2500,36.0,8.19,A,A5,10+ years,RENT,70000.0,Not Verified,Jan-21,Late (31-120 days),n,debt_consolidation,19.82,0,Mar-02,0,11,24,1996.02,626.28,122.3,0.0,0.0,0.0,Sep-21,78.57,Jan-22,0.0,1,INDIVIDUAL
38614649,6000,36.0,11.99,B,B5,1 year,RENT,80000.0,Source Verified,Jan-21,Current,n,debt_consolidation,8.6,0,Jul-01,0,8,22,4233.28,2387.12,620.4,0.0,0.0,0.0,Jan-22,199.26,Jan-22,0.0,1,INDIVIDUAL
38614452,2500,36.0,13.507328482328484,B,B1,10+ years,RENT,55000.0,Not Verified,Jan-21,Fully Paid,n,car,29.72,0,Sep-04,1,6,14,0.0,2517.42,17.42,0.0,0.0,0.0,Feb-21,2519.83,Nov-21,0.0,1,INDIVIDUAL
38614372,8000,36.0,11.99,B,B5,< 1 year,RENT,28080.0,Not Verified,Jan-21,Current,n,debt_consolidation,27.96,0,Feb-10,0,8,28,5644.38,3177.5,821.88,0.0,0.0,0.0,Jan-22,265.68,Jan-22,0.0,1,INDIVIDUAL
38606555,2000,36.0,12.99,C,C2,< 1 year,RENT,60000.0,Not Verified,Jan-21,Current,n,debt_consolidation,13.98,0,Feb-03,0,5,12,1417.36,802.16,219.52,0.0,0.0,0.0,Jan-22,67.38,Jan-22,0.0,1,INDIVIDUAL
38606529,9650,36.0,16.49,D,D3,2 years,RENT,36000.0,Not Verified,Jan-21,Charged Off,n,debt_consolidation,17.93,0,May-03,2,5,11,0.0,2382.43,857.7,0.0,0.0,0.0,Aug-21,341.61,Jan-22,0.0,1,INDIVIDUAL
38606280,2500,36.0,9.49,B,B2,8 years,RENT,36000.0,Not Verified,Jan-21,Current,n,debt_consolidation,16.03,0,Jun-07,0,19,24,1743.97,959.64,203.61,0.0,0.0,0.0,Jan-22,80.08,Jan-22,0.0,1,INDIVIDUAL
38606111,5000,36.0,15.99,D,D2,2 years,OWN,25000.0,Verified,Jan-21,Current,n,home_improvement,21.7,0,Mar-05,2,22,24,3589.88,2104.8,694.68,0.0,0.0,0.0,Jan-22,175.77,Jan-22,0.0,1,INDIVIDUAL
